,Company Id,PROs Culture & Values mean,PROs Work/Life Balance mean,PROs Senior Management mean,PROs Comp & Benefits mean,PROs Career Opportunities mean,CONs Culture & Values mean,CONs Work/Life Balance mean,CONs Senior Management mean,CONs Comp & Benefits mean,CONs Career Opportunities mean,PROs Culture & Values count,PROs Work/Life Balance count,PROs Senior Management count,PROs Comp & Benefits count,PROs Career Opportunities count,CONs Culture & Values count,CONs Work/Life Balance count,CONs Senior Management count,CONs Comp & Benefits count,CONs Career Opportunities count
80,144,0.5538789250353614,0.5047791855203615,0.4558019900497509,0.546928131021195,0.5266783561643839,0.02330899122807018,-0.0007021897810218922,0.024551743119266053,0.02332504672897197,0.07443535188216044,707.0,221.0,201.0,519.0,365.0,912.0,137.0,545.0,535.0,611.0
81,145,0.5342332991803266,0.4607205757832351,0.5242650107991367,0.5761872775214216,0.5363712617702445,-0.025983434399118148,-0.06996151582045639,-0.043719633774160827,-0.008071122011036103,0.05852488479262654,2928.0,1181.0,926.0,3034.0,2655.0,3628.0,1359.0,1966.0,1631.0,1953.0
82,148,0.47610978260869546,0.47810370370370375,0.5253473684210528,0.513113953488372,0.4185677419354839,-0.08676506024096385,0.019734146341463418,-0.06457796610169489,0.09671666666666667,0.05875,92.0,27.0,19.0,43.0,31.0,83.0,41.0,59.0,24.0,24.0
83,149,0.49598536585365877,0.49237628205128164,0.4450850467289717,0.512714114832536,0.5171345514950163,-0.06254146341463417,-0.0842036290322581,-0.11795168539325838,0.04247272727272728,0.003979699248120313,410.0,156.0,107.0,418.0,301.0,615.0,248.0,356.0,198.0,266.0
84,150,0.5408816993464048,0.5098088235294118,0.49662131147540994,0.5936866242038215,0.5493795698924728,0.030840167364016735,-0.013042553191489361,-0.03886370967741936,0.014443750000000005,0.08603816793893129,153.0,102.0,61.0,157.0,93.0,239.0,47.0,124.0,96.0,131.0
85,152,0.4848477272727271,0.41356250000000006,0.5098736842105264,0.5368828571428571,0.6274444444444446,-0.16051224489795918,-0.08666,0.016388,-0.022587500000000003,0.09981,44.0,16.0,19.0,35.0,27.0,49.0,10.0,25.0,8.0,20.0
86,153,0.5251650000000001,0.34,0.35946,0.48810000000000003,0.34197500000000003,-0.12845600000000001,0.2202,-0.17315000000000003,-0.08098666666666667,0.07565,20.0,1.0,5.0,7.0,4.0,25.0,2.0,18.0,15.0,4.0
87,157,0.4942384615384615,0.9186,0.4643,0.72535,0.5555000000000001,-0.053599999999999995,0.0,-0.21474285714285712,0.010299999999999976,-0.02310000000000001,13.0,1.0,2.0,14.0,5.0,7.0,0.0,7.0,2.0,4.0
88,158,0.6223667938931295,0.5575467213114752,0.49502500000000027,0.5744917647058821,0.6069285714285708,0.10988633540372673,0.11181666666666665,0.11476197183098588,0.13929374999999994,0.1916483870967741,262.0,122.0,72.0,85.0,133.0,161.0,30.0,71.0,64.0,124.0
89,161,0.5137446786090635,0.42861033755274314,0.4673663865546211,0.5630411048689128,0.5487079391891893,-0.05700773313116004,-0.06542431999999995,-0.10573246073298422,0.005449295774647884,0.02990883882149048,949.0,474.0,238.0,1068.0,592.0,1319.0,625.0,764.0,568.0,577.0
90,162,0.6301051401869153,0.5591328124999999,0.5447666666666665,0.602588405797101,0.5727999999999994,0.04313350253807107,-0.1270833333333333,-0.05881547619047619,0.03065185185185185,0.08756048387096775,214.0,64.0,51.0,138.0,138.0,197.0,42.0,84.0,54.0,124.0
91,164,0.4548933333333333,0.623575,0.6699666666666667,0.5072791666666667,0.4809777777777778,0.07846153846153846,-0.17074,0.13757999999999998,-0.006823076923076932,0.15350000000000003,30.0,4.0,9.0,24.0,9.0,26.0,5.0,30.0,13.0,13.0
92,167,0.5508257104194867,0.5291541450777207,0.5103744292237437,0.5634253687315647,0.5813852739726024,0.024875296912114032,-0.03511621621621622,-0.015807223113964687,0.0499862745098039,0.09926558441558438,739.0,386.0,219.0,678.0,292.0,842.0,111.0,623.0,204.0,462.0
93,170,0.5132896551724139,0.4619333333333334,0.43653125000000004,0.43352272727272717,0.4296428571428571,0.025108510638297863,-0.11622857142857143,-0.14571428571428574,-0.024755714285714284,-0.021871999999999992,29.0,15.0,16.0,44.0,21.0,47.0,14.0,21.0,70.0,25.0
94,172,0.5187319999999993,0.5345356521739127,0.39620714285714287,0.5561810679611647,0.47446993006992955,-0.03872781954887216,-0.10548428571428575,-0.04667142857142854,0.023785185185185184,0.06458865248226951,200.0,115.0,70.0,206.0,143.0,266.0,70.0,154.0,54.0,141.0
95,173,0.45906499999999995,0.36209523809523814,0.534,0.3634966666666667,0.5435450000000002,-0.048446428571428564,-0.055890909090909095,-0.06962558139534884,0.0023863636363636452,0.04417666666666665,40.0,21.0,9.0,30.0,20.0,56.0,11.0,43.0,22.0,30.0
96,177,0.48443333333333327,0.36350663265306116,0.4390207920792077,0.38588042105263143,0.434535398230088,-0.05706161290322575,-0.06027662337662338,-0.105518699186992,-0.09487837837837831,-0.0868268398268398,327.0,196.0,202.0,475.0,113.0,620.0,462.0,492.0,296.0,231.0
97,178,0.5014,0.3963317073170731,0.4773809523809524,0.5736037037037033,0.5155647058823529,-0.08336376811594198,-0.021007894736842118,-0.09705853658536584,0.04796481481481481,0.03163389830508474,74.0,41.0,21.0,81.0,34.0,138.0,38.0,82.0,54.0,59.0
98,181,0.5490076923076923,0.341509090909091,0.465665,0.4794490566037736,0.466869696969697,-0.005920238095238096,-0.24580714285714286,-0.10915686274509805,0.03765000000000001,0.06551515151515151,52.0,11.0,20.0,53.0,33.0,84.0,14.0,51.0,26.0,33.0
99,182,0.4385720000000001,0.4061090909090909,0.52636,0.41424782608695665,0.29657,-0.131976,-0.06323333333333332,-0.20022727272727273,-0.085365,0.21893636363636365,25.0,11.0,5.0,23.0,10.0,25.0,12.0,11.0,20.0,11.0
100,183,0.5466234567901231,0.5580255319148937,0.4959628571428572,0.5158897435897435,0.547142268041237,0.014505625,-0.014254761904761902,0.011463380281690135,-0.004030769230769243,0.08500114942528737,162.0,47.0,35.0,117.0,97.0,160.0,42.0,71.0,39.0,87.0
101,184,0.36592857142857144,0.01943333333333332,0.3008777777777778,0.22416585365853658,0.51185,-0.1026822222222222,-0.0663,-0.045575000000000004,-0.05809411764705883,0.04888846153846153,42.0,12.0,9.0,41.0,32.0,45.0,11.0,36.0,17.0,26.0
102,187,0.5584741721854306,0.525907555555555,0.4418012658227846,0.5074499999999998,0.5397511811023625,-0.0026601769911504393,-0.029703361344537813,-0.048504892966360846,0.0389632911392405,0.08803133333333336,755.0,225.0,158.0,302.0,508.0,678.0,119.0,327.0,237.0,300.0
103,188,0.622252380952381,0.51171,0.4187,0.5941434782608694,0.37592000000000003,-0.1233566666666667,-0.13131250000000003,-0.11988400000000002,0.12781818181818183,0.04996923076923076,21.0,10.0,4.0,23.0,10.0,30.0,8.0,25.0,11.0,13.0
104,189,0.4791521739130436,0.3768840000000001,0.4142475,0.5336148648648649,0.4963636363636364,-0.07400584415584416,-0.13234255319148938,-0.08170759493670886,-0.04288823529411766,-0.1049475,115.0,25.0,40.0,74.0,55.0,154.0,47.0,79.0,51.0,40.0
105,191,0.5289177215189875,0.3470387096774194,0.4554133333333333,0.5466496598639452,0.3886740740740741,0.008635999999999987,-0.12629036144578315,-0.02535833333333332,-0.059699999999999996,0.014751851851851856,79.0,31.0,45.0,147.0,27.0,100.0,83.0,60.0,43.0,27.0
106,192,0.5562125000000001,0.33226,0.4538555555555556,0.5037785714285715,0.4295206896551724,-0.08061206896551723,-0.04856111111111112,-0.08488055555555557,0.18594499999999997,0.03615806451612903,48.0,25.0,9.0,56.0,29.0,58.0,18.0,36.0,20.0,31.0
107,193,0.3841964912280702,0.34657142857142853,0.3803695652173914,0.4791045454545454,0.4166642857142858,-0.005137037037037039,-0.11737894736842107,-0.095805,0.07636666666666664,0.1515027027027027,57.0,7.0,23.0,44.0,42.0,81.0,19.0,40.0,18.0,37.0
108,194,0.5590432394693934,0.4426011256190923,0.4945430215827334,0.46190220588235276,0.502794480358032,-0.04632060554188487,-0.05537408328154122,-0.09065019872127211,-0.0884181436464098,0.01917308544693423,8594.0,4442.0,2780.0,6256.0,4022.0,9347.0,6436.0,5787.0,4525.0,4061.0
109,195,0.5443970464135022,0.46387121212121163,0.4541009708737863,0.5453416886543536,0.5496360995850618,0.06177743362831861,0.0315595041322314,0.017118565400843867,0.05579694656488551,0.1345485714285715,474.0,198.0,103.0,379.0,241.0,452.0,121.0,237.0,131.0,280.0
110,197,0.5853929090909095,0.5861293577981647,0.5209820143884889,0.629901724137932,0.5925654008438812,-0.03607796296296297,-0.0001449838187702375,-0.06522293233082709,0.02339044776119403,0.03245043859649124,550.0,218.0,139.0,812.0,237.0,540.0,309.0,266.0,335.0,228.0
111,198,0.5206780701754384,0.5140833333333333,0.5576310344827585,0.5917520408163264,0.5939772727272724,-0.027721511627906953,-0.05123684210526315,-0.08903365384615383,0.06559583333333334,0.08934576271186441,114.0,30.0,29.0,98.0,44.0,172.0,19.0,104.0,48.0,59.0
112,199,0.6146904761904761,0.5391888888888889,0.7878363636363637,0.5177285714285712,0.6456645161290323,-0.021390243902439026,-0.026962499999999997,0.01687187500000001,-0.10746315789473686,-0.039099999999999996,84.0,27.0,11.0,56.0,31.0,82.0,24.0,32.0,19.0,36.0
113,201,0.48746104417670616,0.39424494382022457,0.4095666666666667,0.4637122905027931,0.47334832214765066,0.021085148514851482,-0.07946576576576576,-0.10687224880382774,0.0013999999999999833,0.06544885496183206,249.0,89.0,66.0,179.0,149.0,303.0,111.0,209.0,139.0,131.0
114,202,0.48424841075794595,0.37576646706586836,0.41448263473053865,0.3925434017595305,0.45648295739348377,-0.0820534246575342,-0.10422871853546906,-0.140288981868898,-0.11083565121412767,-0.0625166666666666,818.0,501.0,334.0,1705.0,399.0,2336.0,874.0,1434.0,906.0,654.0
115,204,0.5609260000000001,0.36737727272727283,0.5200100000000001,0.5190036363636364,0.5290617647058824,-0.005824528301886794,0.12371428571428571,-0.06828260869565217,0.14503571428571432,0.08512916666666666,50.0,22.0,10.0,55.0,34.0,53.0,7.0,23.0,14.0,24.0
116,205,0.47570909090909075,0.36967777777777794,0.26370499999999997,0.5387666666666667,0.5300791666666665,-0.009574626865671638,-0.0009388888888888965,-0.14217916666666663,0.004656521739130428,0.039042105263157906,110.0,36.0,40.0,72.0,48.0,134.0,36.0,96.0,46.0,76.0
117,206,0.6540391304347826,0.4829857142857143,0.53162,0.5983923076923077,0.6609916666666666,0.1714,-0.34149999999999997,0.001684615384615387,-0.16,0.05920588235294115,23.0,7.0,5.0,13.0,12.0,18.0,4.0,13.0,6.0,17.0
118,207,0.5087322766570603,0.5198476190476188,0.4614530120481926,0.5800555956678698,0.5467485401459847,0.01649160104986877,-0.010069230769230775,-0.05408121546961324,0.06595784313725492,0.10538387096774196,347.0,147.0,83.0,277.0,274.0,381.0,65.0,181.0,102.0,186.0
119,208,0.595310857142857,0.576305063291139,0.4544878048780488,0.6307282442748088,0.5877115942028985,0.021532984293193728,-0.10336153846153849,-0.07429716312056732,-0.10671594202898547,0.10841322314049588,175.0,79.0,41.0,131.0,69.0,191.0,13.0,141.0,69.0,121.0
120,211,0.48894596774193516,0.4696260869565218,0.44198235294117655,0.5602614457831321,0.546240243902439,0.010103465346534652,-0.07936153846153847,-0.014791919191919191,-0.02861379310344828,0.0844212765957447,124.0,69.0,34.0,166.0,82.0,202.0,52.0,99.0,58.0,94.0
