,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
2997,nyse:itt,Industrials,General Industrials,432846,"https://www.glassdoor.com/Overview/Working-at-ITT-Interconnect-Solutions-EI_IE432846.11,37.htm",ITT Interconnect Solutions,3
2998,nyse:psg,,,29668,"https://www.glassdoor.com/Overview/Working-at-Performance-Sports-Group-EI_IE29668.11,35.htm",Performance Sports Group,13
2999,nyse:vsto,Consumer Goods,Leisure Goods,992811,"https://www.glassdoor.com/Overview/Working-at-Vista-Outdoor-EI_IE992811.11,24.htm",Vista Outdoor,35
3000,tyo:2914,,,6359,"https://www.glassdoor.com/Overview/Working-at-Japan-Tobacco-International-EI_IE6359.11,18.htm",Japan Tobacco International,162
3001,lon:sky,Consumer Services,Media,3903,"https://www.glassdoor.com/Overview/Working-at-Sky-EI_IE3903.11,14.htm",Sky,433
3002,athex:ffgrp,,,338800,"https://www.glassdoor.com/Overview/Working-at-Folli-Follie-EI_IE338800.11,23.htm",Folli Follie,19
3003,ams:bfit,,,954636,"https://www.glassdoor.com/Overview/Working-at-Basic-Fit-EI_IE954636.11,20.htm",Basic Fit,15
3004,hk:293,Consumer Services,Travel & Leisure,7531,"https://www.glassdoor.com/Overview/Working-at-Cathay-Pacific-EI_IE7531.11,25.htm",Cathay Pacific,92
3005,nasdaq:bbgi,Consumer Services,Media,11147,"https://www.glassdoor.com/Overview/Working-at-Beasley-Broadcast-Group-EI_IE11147.11,34.htm",Beasley Broadcast Group,29
3006,nasdaq:incr,Health Care,Pharmaceuticals & Biotechnology,24644,"https://www.glassdoor.com/Overview/Working-at-INC-Research-EI_IE24644.11,23.htm",INC Research,158
3007,nasdaq:jcom,Technology,Software & Computer Services,7879,"https://www.glassdoor.com/Overview/Working-at-j2-Global-EI_IE7879.11,20.htm",j2 Global,83
3008,nasdaq:ltre,,Health Care Equipment & Services,6122,"https://www.glassdoor.com/Overview/Working-at-Learning-Tree-International-EI_IE6122.11,38.htm",Learning Tree International,41
3009,nasdaq:mdxg,,Pharmaceuticals & Biotechnology,283952,"https://www.glassdoor.com/Overview/Working-at-MiMedx-Group-EI_IE283952.11,23.htm",MiMedx Group,21
3010,nasdaq:mofg,Financials,Banks,3659,"https://www.glassdoor.com/Overview/Working-at-MidWestOne-EI_IE3659.11,21.htm",MidWestOne,3
3011,nasdaq:sync,Technology,Software & Computer Services,42744,"https://www.glassdoor.com/Overview/Working-at-Synacor-EI_IE42744.11,18.htm",Synacor,36
3012,nyse:bh,Consumer Services,Travel & Leisure,3873,"https://www.glassdoor.com/Overview/Working-at-Western-Sizzlin-EI_IE3873.11,26.htm",Western Sizzlin,16
3013,nyse:dci,Industrials,Industrial Engineering,205,"https://www.glassdoor.com/Overview/Working-at-Donaldson-Company-EI_IE205.11,28.htm",Donaldson Company,96
3014,nyse:esnt,Financials,Financial Services,612238,"https://www.glassdoor.com/Overview/Working-at-Essent-Guaranty-EI_IE612238.11,26.htm",Essent Guaranty,5
3015,nyse:lpx,Industrials,Construction & Materials,413,"https://www.glassdoor.com/Overview/Working-at-Louisiana-Pacific-EI_IE413.11,28.htm",Louisiana Pacific,34
3016,nyse:mcs,Consumer Services,Travel & Leisure,150446,"https://www.glassdoor.com/Overview/Working-at-Marcus-Theatres-EI_IE150446.11,26.htm",Marcus Theatres,58
3017,nyse:mro,Oil & Gas,Oil & Gas Producers,8229,"https://www.glassdoor.com/Overview/Working-at-Marathon-Oil-EI_IE8229.11,23.htm",Marathon Oil,121
3018,nyse:mtn,Consumer Services,Travel & Leisure,239710,"https://www.glassdoor.com/Overview/Working-at-Vail-Resorts-Retail-EI_IE239710.11,30.htm",Vail Resorts Retail,30
3019,nyse:pen,Health Care,Health Care Equipment & Services,297645,"https://www.glassdoor.com/Overview/Working-at-Penumbra-EI_IE297645.11,19.htm",Penumbra,24
3020,nyse:rpm,Basic Materials,Chemicals,39785,"https://www.glassdoor.com/Overview/Working-at-Rust-Oleum-EI_IE39785.11,21.htm",Rust Oleum,52
3021,nyse:scg,Utilities,"Gas, Water & Multi-utilities",577,"https://www.glassdoor.com/Overview/Working-at-SCANA-EI_IE577.11,16.htm",SCANA,72
3022,nyse:ssp,Consumer Services,Media,1355,"https://www.glassdoor.com/Overview/Working-at-Scripps-EI_IE1355.11,18.htm",Scripps,78
3023,nyse:tco,Financials,General Financial,2103,"https://www.glassdoor.com/Overview/Working-at-Taubman-EI_IE2103.11,18.htm",Taubman,22
3024,lon:ascl,Consumer Services,Media,448202,"https://www.glassdoor.com/Overview/Working-at-WGSN-EI_IE448202.11,15.htm",WGSN,34
3025,lon:dmgt,Consumer Services,Media,952570,"https://www.glassdoor.com/Overview/Working-at-DMG-Media-EI_IE952570.11,20.htm",DMG Media,14
3026,lon:mggt,Industrials,Aerospace & Defense,10198,"https://www.glassdoor.com/Overview/Working-at-Meggitt-EI_IE10198.11,18.htm",Meggitt,88
3027,vtx:cfr,,,10674,"https://www.glassdoor.com/Overview/Working-at-Richemont-EI_IE10674.11,20.htm",Richemont,70
3028,epa:rco,,,18963,"https://www.glassdoor.com/Overview/Working-at-R%C3%A9my-Cointreau-USA-EI_IE18963.11,29.htm",R%C3%A9my Cointreau USA,12
3029,nysemkt:inuv,Technology,Software & Computer Services,1144855,"https://www.glassdoor.com/Overview/Working-at-Inuvo-EI_IE1144855.11,16.htm",Inuvo,5
3030,nasdaq:sgms,Consumer Services,Travel & Leisure,1990,"https://www.glassdoor.com/Overview/Working-at-Bally-Technologies-EI_IE1990.11,29.htm",Bally Technologies,130
3031,nasdaq:clvs,Health Care,Pharmaceuticals & Biotechnology,808732,"https://www.glassdoor.com/Overview/Working-at-Clovis-Oncology-EI_IE808732.11,26.htm",Clovis Oncology,4
3032,nasdaq:cnob,Financials,Banks,925514,"https://www.glassdoor.com/Overview/Working-at-ConnectOne-Bank-EI_IE925514.11,26.htm",ConnectOne Bank,27
3033,nasdaq:epzm,Health Care,Pharmaceuticals & Biotechnology,1191360,"https://www.glassdoor.com/Overview/Working-at-Epizyme-EI_IE1191360.11,18.htm",Epizyme,6
3034,nasdaq:hbp,,,11046,"https://www.glassdoor.com/Overview/Working-at-Huttig-Building-Products-EI_IE11046.11,35.htm",Huttig Building Products,13
3035,nasdaq:omer,Health Care,Pharmaceuticals & Biotechnology,43325,"https://www.glassdoor.com/Overview/Working-at-Omeros-EI_IE43325.11,17.htm",Omeros,4
3036,nyse:byd,Consumer Services,Travel & Leisure,824633,"https://www.glassdoor.com/Overview/Working-at-Blue-Chip-Casino-Hotel-Spa-EI_IE824633.11,37.htm",Blue Chip Casino Hotel Spa,11
3037,nyse:dhx,Industrials,Support Services,8654,"https://www.glassdoor.com/Overview/Working-at-Dice-EI_IE8654.11,15.htm",Dice,25
3038,nyse:gdot,Financials,Financial Services,232242,"https://www.glassdoor.com/Overview/Working-at-Green-Dot-EI_IE232242.11,20.htm",Green Dot,67
3039,nyse:lub,Consumer Services,Travel & Leisure,13390,"https://www.glassdoor.com/Overview/Working-at-Fuddruckers-EI_IE13390.11,22.htm",Fuddruckers,53
3040,nyse:mrin,Technology,Software & Computer Services,113537,"https://www.glassdoor.com/Overview/Working-at-Marin-Software-EI_IE113537.11,25.htm",Marin Software,57
3041,nyse:tds,Telecommunications,Mobile Telecommunications,317847,"https://www.glassdoor.com/Overview/Working-at-BendBroadband-EI_IE317847.11,24.htm",BendBroadband,6
3042,jse:sui,,,152856,"https://www.glassdoor.com/Overview/Working-at-Sun-International-Limited-EI_IE152856.11,36.htm",Sun International Limited,8
3043,epa:asrnl,,,318006,"https://www.glassdoor.com/Overview/Working-at-ASR-EI_IE318006.11,14.htm",ASR,17
3044,asx:bld,,,7314,"https://www.glassdoor.com/Overview/Working-at-Boral-EI_IE7314.11,16.htm",Boral,35
3045,epa:inter,,,633822,"https://www.glassdoor.com/Overview/Working-at-Intertrust-EI_IE633822.11,21.htm",Intertrust,28
3046,otcbb:hkfi,,,309,"https://www.glassdoor.com/Overview/Working-at-Hancock-Fabrics-EI_IE309.11,26.htm",Hancock Fabrics,43
3047,nasdaq:ottr,Industrials,General Industrials,39493,"https://www.glassdoor.com/Overview/Working-at-BTD-Manufacturing-EI_IE39493.11,28.htm",BTD Manufacturing,17
3048,nyse:fti,Oil & Gas,"Oil Equipment, Services & Distribution",13228,"https://www.glassdoor.com/Overview/Working-at-FMC-Technologies-EI_IE13228.11,27.htm",FMC Technologies,263
3049,nasdaq:axon,,,1397238,"https://www.glassdoor.com/Overview/Working-at-Axovant-Sciences-EI_IE1397238.11,27.htm",Axovant Sciences,2
